rung,Cre,Cim,Cabs
1,0.9321014854805363,0.0,0.9321014854805363
2,-0.6458303145387464,0.0,0.6458303145387464
3,0.37338974246171297,0.0,0.37338974246171297
4,-0.14432514931710153,0.0,0.14432514931710153
5,0.06607950637074225,0.0,0.06607950637074225
6,-0.050543832831387345,0.0,0.050543832831387345
7,0.045636983412420264,0.0,0.045636983412420264
8,-0.014586834029853345,0.0,0.014586834029853345
9,0.011730124967619234,0.0,0.011730124967619234
10,-0.007407126668062592,0.0,0.007407126668062592
11,0.010877612266919906,0.0,0.010877612266919906
12,-0.00339465203128859,0.0,0.00339465203128859
13,0.004972794609362621,0.0,0.004972794609362621
14,-0.002071275850088629,0.0,0.002071275850088629
15,0.0034465806841367545,0.0,0.0034465806841367545
16,-0.0005288142622343945,0.0,0.0005288142622343945
17,0.0014465418502196982,0.0,0.0014465418502196982
18,-0.0010426042724219393,0.0,0.0010426042724219393
19,0.0019057226274999306,0.0,0.0019057226274999306
20,-0.0003853436700985149,0.0,0.0003853436700985149
21,0.0013463906205733191,0.0,0.0013463906205733191
22,-0.0013966828790388961,0.0,0.0013966828790388961
23,0.0008550771551375929,0.0,0.0008550771551375929
24,8.08294021456549e-5,0.0,8.08294021456549e-5
25,0.00042638420624862135,0.0,0.00042638420624862135
26,-0.000302837367151887,0.0,0.000302837367151887
27,0.0005729936536157438,0.0,0.0005729936536157438
28,-3.878654836022347e-5,0.0,3.878654836022347e-5
29,0.000438355596022008,0.0,0.000438355596022008
30,-0.0005469955867835371,0.0,0.0005469955867835371
31,0.0011692188694096164,0.0,0.0011692188694096164
32,-0.00035976325210915476,0.0,0.00035976325210915476
33,0.0007670582558980941,0.0,0.0007670582558980941
34,-0.00020337719995715573,0.0,0.00020337719995715573
35,0.0009422906837926698,0.0,0.0009422906837926698
36,-6.912470744555357e-5,0.0,6.912470744555357e-5
37,0.00036322991709718163,0.0,0.00036322991709718163
38,-0.0004509728994325301,0.0,0.0004509728994325301
39,4.860142011789653e-5,0.0,4.860142011789653e-5
40,0.00011324247930745776,0.0,0.00011324247930745776
41,-0.0006140978445081269,0.0,0.0006140978445081269
42,0.0002899266056365577,0.0,0.0002899266056365577
43,-0.000247603980047174,0.0,0.000247603980047174
44,-0.001223200736221869,0.0,0.001223200736221869
45,-0.00017144718030494404,0.0,0.00017144718030494404
46,4.440602689627143e-5,0.0,4.440602689627143e-5
47,-0.00022962665274267274,0.0,0.00022962665274267274
48,-0.0004131119072991993,0.0,0.0004131119072991993
49,-0.0005530997694355492,0.0,0.0005530997694355492
50,0.0003316909807975405,0.0,0.0003316909807975405
51,-7.311942223682899e-5,0.0,7.311942223682899e-5
52,-6.469554225478245e-5,0.0,6.469554225478245e-5
53,-0.00015806739818819435,0.0,0.00015806739818819435
54,0.0005084563213389108,0.0,0.0005084563213389108
55,-0.0002691809897643982,0.0,0.0002691809897643982
56,-0.00032787591208439964,0.0,0.00032787591208439964
57,0.0002863455945574583,0.0,0.0002863455945574583
58,-0.0001947520765784471,0.0,0.0001947520765784471
59,-2.6932908754278506e-5,0.0,2.6932908754278506e-5
