rung,Cre,Cim,Cabs
1,0.9746139336805795,0.0,0.9746139336805795
2,-0.639812724606847,0.0,0.639812724606847
3,0.3780452290830185,0.0,0.3780452290830185
4,-0.1497082653841062,0.0,0.1497082653841062
5,0.06810442764312574,0.0,0.06810442764312574
6,-0.051594410074549374,0.0,0.051594410074549374
7,0.05023009445398495,0.0,0.05023009445398495
8,-0.013760549418325064,0.0,0.013760549418325064
9,0.011391756534261353,0.0,0.011391756534261353
10,-0.006681567223910077,0.0,0.006681567223910077
11,0.010694020893637484,0.0,0.010694020893637484
12,-0.003296423034046859,0.0,0.003296423034046859
13,0.004415837920674952,0.0,0.004415837920674952
14,-0.002281087969655875,0.0,0.002281087969655875
15,0.003602283026810758,0.0,0.003602283026810758
16,-0.002045166530232704,0.0,0.002045166530232704
17,0.0022879462025054316,0.0,0.0022879462025054316
18,-0.0014237526949248925,0.0,0.0014237526949248925
19,0.0016823164189002998,0.0,0.0016823164189002998
20,4.241134126138599e-5,0.0,4.241134126138599e-5
21,0.0008521465144870074,0.0,0.0008521465144870074
22,-0.0007409241025704002,0.0,0.0007409241025704002
23,0.0009450012370739719,0.0,0.0009450012370739719
24,-0.0008352127708052254,0.0,0.0008352127708052254
25,0.0007742642224241254,0.0,0.0007742642224241254
26,-0.0006530068453412787,0.0,0.0006530068453412787
27,0.0006186963649349491,0.0,0.0006186963649349491
28,-8.266889444364652e-5,0.0,8.266889444364652e-5
29,0.000489604368474169,0.0,0.000489604368474169
30,-0.0005004897971134287,0.0,0.0005004897971134287
31,0.0012254584081038246,0.0,0.0012254584081038246
32,-0.00035083746772018035,0.0,0.00035083746772018035
33,0.0006341260798270637,0.0,0.0006341260798270637
34,1.0219866241844397e-5,0.0,1.0219866241844397e-5
35,0.00063667145978354,0.0,0.00063667145978354
36,-0.00019465619499808368,0.0,0.00019465619499808368
37,0.0002320226386862619,0.0,0.0002320226386862619
38,-0.0005250884273731398,0.0,0.0005250884273731398
39,0.0013800154930369221,0.0,0.0013800154930369221
40,-0.00028549286325865736,0.0,0.00028549286325865736
41,-0.00038320452277352553,0.0,0.00038320452277352553
42,0.0022510219403918106,0.0,0.0022510219403918106
43,0.0002989994047391052,0.0,0.0002989994047391052
44,-0.0019863856682777003,0.0,0.0019863856682777003
45,0.0006461111948723647,0.0,0.0006461111948723647
46,0.0002260823970611446,0.0,0.0002260823970611446
47,0.000182307004763896,0.0,0.000182307004763896
48,0.00031446050164773824,0.0,0.00031446050164773824
49,3.8347542557025346e-5,0.0,3.8347542557025346e-5
50,0.0004864218438913966,0.0,0.0004864218438913966
51,-0.00037549153798024096,0.0,0.00037549153798024096
52,0.0003256650083263683,0.0,0.0003256650083263683
53,-0.00039986365880885846,0.0,0.00039986365880885846
54,0.0007214596142148366,0.0,0.0007214596142148366
55,-0.0003550775115100808,0.0,0.0003550775115100808
56,-0.00012131999048910345,0.0,0.00012131999048910345
57,0.000350819261346951,0.0,0.000350819261346951
58,-5.4264964007874904e-5,0.0,5.4264964007874904e-5
59,-0.00016312843430049874,0.0,0.00016312843430049874
