chi,energy,Jc,Jr
0.0,-11.566434008548457,0.0 - 2.3129646346357427e-18im,1.3877787807814458e-18
0.3490658503988659,-11.12929020428233,0.2282079328422656 + 1.5419764230904951e-18im,0.024387846128932716
0.6981317007977318,-10.114303826749097,0.48405472906571245 + 1.734723475976807e-18im,0.023893825573420794
1.0471975511965976,-9.81380497787087,0.4625569541085172 + 6.363664417949641e-18im,0.012974518188604438
1.3962634015954636,-9.722281345813665,0.18825560105144282 - 1.6835250400538806e-18im,0.010396667228232783
1.7453292519943295,-9.68318473374189,-0.1766741163911959 - 1.0806258111526529e-17im,0.010246505519076222
2.0943951023931953,-9.66356169272489,-0.45723771926734663 - 1.5660698047012842e-18im,0.011451566854534885
2.443460952792061,-9.65326163655233,-0.5219728895572476 - 9.540979117872439e-18im,0.015327733928802361
2.792526803190927,-9.64779469164812,-0.3411483317768129 - 7.878535786728e-18im,0.02247591858217831
3.141592653589793,-9.657376572630795,-1.2640925295578707e-16 + 4.481368979606752e-18im,1.2956804486878784e-17
