chi,energy,Jc_re,Jc_im,Jc_abs,Jr
0.0,-18.937938690185547,0.0,2.5385433755076292e-9,2.5385433755076292e-9,2.5344625201958373e-8
0.16534698176788384,-41.966854095458984,-0.0734921395778656,-2.0464587802138112e-9,0.0734921395778656,0.009872459105771178
0.3306939635357677,-48.4511833190918,-0.15635240077972412,-8.002021267827786e-9,0.15635240077972412,0.015385969470326718
0.49604094530365156,-48.19441604614258,-0.2305048108100891,2.664149345577016e-9,0.2305048108100891,0.018342353155812584
0.6613879270715354,-46.6214714050293,-0.29654330015182495,4.278645882038745e-9,0.29654330015182495,0.02096059801391302
0.8267349088394192,-44.71946716308594,-0.35335904359817505,-1.264867766082034e-9,0.35335904359817505,0.023055256016027086
0.9920818906073031,-42.52103042602539,-0.3987046182155609,1.416590666991624e-8,0.3987046182155609,0.024960648032645576
1.1574288723751869,-40.0552864074707,-0.4314568042755127,1.2481330635694121e-8,0.4314568042755127,0.026433259446490318
1.3227758541430708,-37.43407440185547,-0.4500371515750885,-3.152863925492966e-8,0.4500371515750885,0.027313909459408956
1.4881228359109546,-34.721763610839844,-0.45461955666542053,1.7107691263618108e-8,0.45461955666542053,0.02792242483701557
1.6534698176788385,-31.9405517578125,-0.44599974155426025,-6.415671549575563e-9,0.44599974155426025,0.027901704579842493
1.8188167994467224,-29.238548278808594,-0.42369702458381653,9.981177662155005e-9,0.42369702458381653,0.027234744562659986
1.9841637812146062,-26.719512939453125,-0.3883182406425476,4.4909221230682306e-8,0.3883182406425476,0.025547905385722585
2.14951076298249,-24.463897705078125,-0.3419976532459259,-2.262344089842827e-9,0.3419976532459259,0.024220038564705577
2.3148577447503738,-22.531558990478516,-0.28770652413368225,2.9029921577716777e-8,0.28770652413368225,0.027134236761365827
2.4802047265182576,-20.978322982788086,-0.22864429652690887,7.898530718364327e-9,0.22864429652690887,0.04435789691347171
2.6455517082861415,-19.889022827148438,-0.16747446358203888,-1.860175125045771e-8,0.16747446358203888,0.11481689079067646
2.8108986900540254,-19.976051330566406,-0.10315640270709991,1.6697365268214526e-8,0.10315640270709991,0.3415479590065586
2.9762456718219092,-20.741323471069336,-0.05223732441663742,9.936660383402796e-9,0.05223732441663742,0.47872203865494484
3.141592653589793,-20.966690063476562,-0.008032895624637604,7.1890289277121155e-9,0.008032895624637604,0.4421240303378839
