chi,energy,Jc_re,Jc_im,Jc_abs,Jr
0.0,-114.68735704525088,0.0,0.0,0.0,0.0
0.3141592653589793,-112.85451143854328,0.09542379354451717,0.0,0.09542379354451717,0.0031345368774774586
0.6283185307179586,-107.67754889078833,0.17723011633643077,0.0,0.17723011633643077,0.005913061137149197
0.9424777960769379,-99.81637575072286,0.23312255641139373,0.0,0.23312255641139373,0.008885750709702114
1.2566370614359172,-90.45132688776273,0.254882804485983,0.0,0.254882804485983,0.011830248520399907
1.5707963267948966,-80.8755826840774,0.23906975064639235,0.0,0.23906975064639235,0.01564059112027127
1.8849555921538759,-72.44730222979412,0.19242834357545277,0.0,0.19242834357545277,0.02071907719332755
2.199114857512855,-66.1391699925052,0.13059761379209323,0.0,0.13059761379209323,0.025036568065595562
2.5132741228718345,-62.18516005073336,0.07050602707007436,0.0,0.07050602707007436,0.02617125103567974
2.827433388230814,-60.31730945829645,0.027626039792067188,0.0,0.027626039792067188,0.017036862719236632
3.141592653589793,-59.789531628974245,-3.215670786224478e-7,0.0,3.215670786224478e-7,0.001048113484693776
